shopName
37,62
61,1
7,60
54,84
66,95
28,26
96,64
18,96
3,74
11,8
44,75
93,82
51,30
53,43
20,66
51,42
86,43
98,51
96,58
44,6
76,6
88,91
49,67
32,1
43,15
97,17
70,52
70,66
45,70
48,96
36,42
29,28
2,75
2,30
79,42
96,4
99,53
58,7
51,34
17,42
5,80
21,55
10,20
62,98
2,19
89,93
79,58
17,91
94,93
49,57
68,47
32,34
45,40
100,88
37,77
57,49
4,60
14,37
16,60
88,29
21,99
15,74
89,73
45,26
100,92
97,83
56,56
88,19
20,19
44,10
100,78
24,11
16,60
10,6
91,55
47,51
51,27
67,65
44,90
58,2
1,11
57,20
2,14
58,41
95,63
93,88
67,84
96,6
36,62
64,67
46,85
93,84
33,36
21,89
36,63
24,89
71,7
14,51
53,68
100,92
64,50
3,74
62,56
59,69
74,54
57,21
32,18
89,91
56,94
11,48
47,41
6,72
46,87
79,31
87,78
79,58
87,72
97,50
48,5
83,44
55,52
31,96
59,20
63,46
77,49
26,77
64,35
39,14
64,42
69,38
7,47
39,12
40,89
61,64
66,18
82,17
45,23
86,46
42,63
94,44
1,83
97,4
3,46
33,25
82,46
2,58
40,64
72,50
68,44
45,30
57,18
99,77
57,21
53,66
71,12
64,92
71,38
61,94
45,42
85,56
48,71
79,87
62,15
22,29
60,17
14,98
18,37
80,6
93,8
67,75
85,18
80,60
88,80
34,2
91,81
73,81
20,98
27,19
18,7
92,72
38,16
35,77
42,88
51,61
26,17
8,59
75,1
71,79
18,19
29,84
69,35
52,3
12,85
82,11
22,23
91,44
1,94
89,4
72,63
61,16
62,1
96,8
26,86
49,8
29,11
42,30
16,64
39,1
40,20
70,82
68,89
5,8
21,75
2,85
79,52
71,75
22,86
79,68
87,24
9,75
49,96
21,11
23,66
60,47
17,74
67,78
22,70
11,33
84,75
99,83
1,98
80,12
95,68
76,37
6,69
81,96
51,97
20,6
84,9
80,27
55,96
58,75
42,25
42,55
81,63
78,79
3,25
33,76
29,42
27,70
51,49
91,44
89,27
62,51
3,59
62,50
24,72
36,77
97,62
24,11
60,37
50,14
46,76
15,94
93,12
20,58
62,79
95,26
96,26
52,98
35,10
3,20
45,63
51,98
92,71
42,23
48,14
17,44
59,16
54,41
4,35
13,49
41,87
68,83
35,99
65,7
57,30
32,71
17,58
29,85
60,35
90,63
72,66
87,13
66,24
89,25
21,57
57,92
100,37
52,42
14,36
70,1
58,35
19,68
13,66
76,15
89,95
62,97
100,1
83,38
53,9
27,57
24,3
8,44
97,78
81,16
89,78
13,35
37,86
42,21
49,78
38,58
58,64
1,35
58,50
45,23
49,26
25,4
93,71
52,26
53,52
9,64
75,10
42,77
74,69
94,38
50,70
50,62
75,60
59,15
88,88
27,35
23,46
79,68
32,29
38,29
69,38
52,3
35,77
65,81
19,34
78,56
58,45
51,45
10,99
25,74
51,75
78,84
58,31
64,4
78,45
76,12
65,21
83,6
96,43
28,72
60,37
50,65
54,5
58,41
41,82
75,71
66,93
1,55
56,71
31,19
92,71
83,93
21,16
95,92
63,99
48,44
96,95
92,44
4,75
61,63
20,2
35,10
9,31
20,42
18,8
16,60
79,81
99,90
85,35
56,90
2,66
75,78
16,50
56,73
66,77
49,53
99,71
29,94
40,53
67,43
65,74
59,50
92,82
56,41
92,58
87,17
33,10
70,32
93,34
20,76
36,9
86,98
92,83
1,47
17,10
95,30
8,77
16,56
53,8
39,52
22,8
13,45
95,36
31,84
12,4
52,28
52,57
97,37
41,40
63,33
15,94
82,83
25,33
30,53
45,50
48,1
79,36
14,69
72,41
2,7
12,87
35,96
1,56
42,74
31,47
37,10
90,61
84,51
58,98
62,85
98,6
25,23
74,43
72,6
23,36
56,82
53,57
64,79
52,56
33,13
87,19
78,77
7,66
28,84
4,21
72,7
85,84
83,89
83,28
6,96
10,66
19,21
17,27
20,26
18,79
71,31
25,99
16,57
61,17
34,25
88,15
70,78
43,38
23,53
51,33
47,21
42,33
56,46
83,19
87,74
90,16
42,75
83,89
82,54
49,19
93,40
74,43
17,99
76,40
30,31
15,84
84,20
20,26
74,52
27,44
14,53
63,88
40,22
31,31
43,21
90,83
32,42
70,22
94,28
64,29
27,44
16,83
79,79
80,31
4,38
4,22
57,99
12,46
44,35
70,60
76,25
95,23
92,95
20,86
46,69
14,17
15,14
54,38
33,18
37,24
100,74
12,73
84,68
63,2
1,97
79,6
73,36
1,35
45,39
25,28
76,1
27,95
28,63
92,71
23,72
26,62
18,90
14,97
61,77
84,32
19,60
22,4
70,3
60,11
26,17
5,56
55,38
51,76
46,18
48,86
63,90
37,42
74,99
64,64
69,57
21,29
85,87
34,68
32,45
31,29
20,68
91,68
61,17
80,29
83,96
70,74
85,17
64,22
43,30
97,43
49,51
85,62
39,64
79,99
38,6
31,22
29,38
73,39
11,75
2,42
60,99
98,77
58,63
51,56
42,33
30,13
7,58
96,47
99,21
82,41
24,61
52,19
6,50
62,93
36,46
23,16
78,69
35,35
11,39
18,57
33,90
26,7
88,11
51,54
53,7
52,73
80,1
79,71
48,96
89,21
77,26
22,1
80,80
13,81
3,23
81,84
98,68
90,35
15,77
4,17
41,54
68,56
29,48
23,12
21,30
56,64
9,85
61,66
20,36
53,60
20,93
27,41
100,5
84,48
6,35
91,1
29,70
6,90
32,2
90,5
75,15
47,7
42,18
